Package name,Severity,Version,Fixed in version,Description,CVE ID,Source
libc-bin,LOW,2.36-9+deb12u10,,GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may guess the heap addresses of pthread_created thread. The component is: glibc. NOTE: the vendor's position is ""ASLR bypass itself is not a vulnerability.,CVE-2019-1010025,tykio/midsommar:latest
libc-bin,LOW,2.36-9+deb12u10,,"In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\1\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern",CVE-2019-9192,tykio/midsommar:latest
libc6,LOW,2.36-9+deb12u10,,"The glob implementation in the GNU C Library (aka glibc or libc6) allows remote authenticated users to cause a denial of service (CPU and memory consumption) via crafted glob expressions that do not match any pathnames, as demonstrated by glob expressions in STAT commands to an FTP daemon, a different vulnerability than CVE-2010-2632.",CVE-2010-4756,tykio/midsommar:latest
libc6,LOW,2.36-9+deb12u10,,"In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(\227|)(\\1\\1|t1|\\\2537)+' in grep.",CVE-2018-20796,tykio/midsommar:latest
libc6,LOW,2.36-9+deb12u10,,GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass stack guard protection. The component is: nptl. The attack vector is: Exploit stack buffer overflow vulnerability and use this bypass vulnerability to bypass stack guard. NOTE: Upstream comments indicate ""this is being treated as a non-security bug and no real threat.,CVE-2019-1010022,tykio/midsommar:latest
libc6,LOW,2.36-9+deb12u10,,GNU Libc current is affected by: Re-mapping current loaded library with malicious ELF file. The impact is: In worst case attacker may evaluate privileges. The component is: libld. The attack vector is: Attacker sends 2 ELF files to victim and asks to run ldd on it. ldd execute code. NOTE: Upstream comments indicate ""this is being treated as a non-security bug and no real threat.,CVE-2019-1010023,tykio/midsommar:latest
libc6,LOW,2.36-9+deb12u10,,GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may bypass ASLR using cache of thread stack and heap. The component is: glibc. NOTE: Upstream comments indicate ""this is being treated as a non-security bug and no real threat.,CVE-2019-1010024,tykio/midsommar:latest
libc6,LOW,2.36-9+deb12u10,,GNU Libc current is affected by: Mitigation bypass. The impact is: Attacker may guess the heap addresses of pthread_created thread. The component is: glibc. NOTE: the vendor's position is ""ASLR bypass itself is not a vulnerability.,CVE-2019-1010025,tykio/midsommar:latest
libc6,LOW,2.36-9+deb12u10,,"In the GNU C Library (aka glibc or libc6) through 2.29, check_dst_limits_calc_pos_1 in posix/regexec.c has Uncontrolled Recursion, as demonstrated by '(|)(\\1\\1)*' in grep, a different issue than CVE-2018-20796. NOTE: the software maintainer disputes that this is a vulnerability because the behavior occurs only with a crafted pattern",CVE-2019-9192,tykio/midsommar:latest
libcairo2,LOW,1.16.0-7,,Cairo version 1.15.4 is vulnerable to a NULL pointer dereference related to the FT_Load_Glyph and FT_Render_Glyph resulting in an application crash.,CVE-2017-7475,tykio/midsommar:latest
libcairo2,LOW,1.16.0-7,,cairo through 1.15.14 has an out-of-bounds stack-memory write during processing of a crafted document by WebKitGTK+ because of the interaction between cairo-rectangular-scan-converter.c (the generate and render_rows functions) and cairo-image-compositor.c (the _cairo_image_spans_and_zero function).,CVE-2018-18064,tykio/midsommar:latest
libcairo2,LOW,1.16.0-7,,An issue was discovered in cairo 1.16.0. There is an assertion problem in the function _cairo_arc_in_direction in the file cairo-arc.c.,CVE-2019-6461,tykio/midsommar:latest
libcairo2,LOW,1.16.0-7,,"An issue was discovered in cairo 1.16.0. There is an infinite loop in the function _arc_error_normalized in the file cairo-arc.c, related to _arc_max_angle_for_tolerance_normalized.",CVE-2019-6462,tykio/midsommar:latest
libcap2,MEDIUM,1:2.66-4,,"The PAM module pam_cap.so of libcap configuration supports group names starting with “@”, during actual parsing, configurations not starting with “@” are incorrectly recognized as group names. This may result in nonintended users being granted an inherited capability set, potentially leading to security risks. Attackers can exploit this vulnerability to achieve local privilege escalation on systems where /etc/security/capability.conf is used to configure user inherited privileges by constructing specific usernames.",CVE-2025-1390,tykio/midsommar:latest
libexpat1,HIGH,2.5.0-1+deb12u1,,libexpat through 2.5.0 allows a denial of service (resource consumption) because many full reparsings are required in the case of a large token for which multiple buffer fills are needed.,CVE-2023-52425,tykio/midsommar:latest
libexpat1,HIGH,2.5.0-1+deb12u1,,"A stack overflow vulnerability exists in the libexpat library due to the way it handles recursive entity expansion in XML documents. When parsing an XML document with deeply nested entity references, libexpat can be forced to recurse indefinitely, exhausting the stack space and causing a crash. This issue could lead to denial of service (DoS) or, in some cases, exploitable memory corruption, depending on the environment and library usage.",CVE-2024-8176,tykio/midsommar:latest
libexpat1,MEDIUM,2.5.0-1+deb12u1,,An issue was discovered in libexpat before 2.6.4. There is a crash within the XML_ResumeParser function because XML_StopParser can stop/suspend an unstarted parser.,CVE-2024-50602,tykio/midsommar:latest
libexpat1,LOW,2.5.0-1+deb12u1,,libexpat through 2.5.0 allows recursive XML Entity Expansion if XML_DTD is undefined at compile time.,CVE-2023-52426,tykio/midsommar:latest
libexpat1,LOW,2.5.0-1+deb12u1,,libexpat through 2.6.1 allows an XML Entity Expansion attack when there is isolated use of external parsers (created via XML_ExternalEntityParserCreate).,CVE-2024-28757,tykio/midsommar:latest
libgcc-s1,LOW,12.2.0-14,,"libiberty/rust-demangle.c in GNU GCC 11.2 allows stack consumption in demangle_const, as demonstrated by nm-new.",CVE-2022-27943,tykio/midsommar:latest
libgcc-s1,LOW,12.2.0-14,,"**DISPUTED**A failure in the -fstack-protector feature in GCC-based toolchains 
that target AArch64 allows an attacker to exploit an existing buffer 
overflow in dynamically-sized local variables in your application 
without this being detected. This stack-protector failure only applies 
to C99-style dynamically-sized local variables or those created using 
alloca(). The stack-protector operates as intended for statically-sized 
local variables.

The default behavior when the stack-protector 
detects an overflow is to terminate your application, resulting in 
controlled loss of availability. An attacker who can exploit a buffer 
overflow without triggering the stack-protector might be able to change 
program flow control to cause an uncontrolled loss of availability or to
 go further and affect confidentiality or integrity. NOTE: The GCC project argues that this is a missed hardening bug and not a vulnerability by itself.",CVE-2023-4039,tykio/midsommar:latest
libgcrypt20,MEDIUM,1.10.1-3,,"A timing-based side-channel flaw was found in libgcrypt's RSA implementation. This issue may allow a remote attacker to initiate a Bleichenbacher-style attack, which can lead to the decryption of RSA ciphertexts.",CVE-2024-2236,tykio/midsommar:latest
libgcrypt20,LOW,1.10.1-3,,"cipher/elgamal.c in Libgcrypt through 1.8.2, when used to encrypt messages directly, improperly encodes plaintexts, which allows attackers to obtain sensitive information by reading ciphertext data (i.e., it does not have semantic security in face of a ciphertext-only attack). The Decisional Diffie-Hellman (DDH) assumption does not hold for Libgcrypt's ElGamal implementation.",CVE-2018-6829,tykio/midsommar:latest
libgnutls30,LOW,3.7.9-2+deb12u4,,"The SSL protocol, as used in certain configurations in Microsoft Windows and Microsoft Internet Explorer, Mozilla Firefox, Google Chrome, Opera, and other products, encrypts data by using CBC mode with chained initialization vectors, which allows man-in-the-middle attackers to obtain plaintext HTTP headers via a blockwise chosen-boundary attack (BCBA) on an HTTPS session, in conjunction with JavaScript code that uses (1) the HTML5 WebSocket API, (2) the Java URLConnection API, or (3) the Silverlight WebClient API, aka a ""BEAST"" attack.",CVE-2011-3389,tykio/midsommar:latest
libjbig0,LOW,2.1-6.1,,"In LibTIFF 4.0.8, there is a memory malloc failure in tif_jbig.c. A crafted TIFF document can lead to an abort resulting in a remote denial of service attack.",CVE-2017-9937,tykio/midsommar:latest
libmount1,LOW,2.38.1-5+deb12u3,,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment variable to get a path to the library config file. When the library cannot parse the specified file, it prints an error message containing data from the file. This flaw allows an unprivileged user to read root-owned files, potentially leading to privilege escalation. This flaw affects util-linux versions prior to 2.37.4.",CVE-2022-0563,tykio/midsommar:latest
libnss3,MEDIUM,2:3.87.1-1+deb12u1,,"NSS was susceptible to a timing side-channel attack when performing RSA decryption. This attack could potentially allow an attacker to recover the private data. This vulnerability affects Firefox < 124, Firefox ESR < 115.9, and Thunderbird < 115.9.",CVE-2023-5388,tykio/midsommar:latest
libnss3,MEDIUM,2:3.87.1-1+deb12u1,,Multiple NSS NIST curves were susceptible to a side-channel attack known as ""Minerva"". This attack could potentially allow an attacker to recover the private key. This vulnerability affects Firefox < 121.,CVE-2023-6135,tykio/midsommar:latest
libnss3,MEDIUM,2:3.87.1-1+deb12u1,,"Calling `PK11_Encrypt()` in NSS using CKM_CHACHA20 and the same buffer for input and output can result in plaintext on an Intel Sandy Bridge processor. In Firefox this only affects the QUIC header protection feature when the connection is using the ChaCha20-Poly1305 cipher suite. The most likely outcome is connection failure, but if the connection persists despite the high packet loss it could be possible for a network observer to identify packets as coming from the same source despite a network path change. This vulnerability affects Firefox < 129, Firefox ESR < 115.14, and Firefox ESR < 128.1.",CVE-2024-7531,tykio/midsommar:latest
libnss3,LOW,2:3.87.1-1+deb12u1,,Heap-based buffer overflow in the alloc_segs function in lib/dbm/src/hash.c in Mozilla Network Security Services (NSS) allows context-dependent attackers to have unspecified impact using a crafted cert8.db file.,CVE-2017-11695,tykio/midsommar:latest
libnss3,LOW,2:3.87.1-1+deb12u1,,Heap-based buffer overflow in the __hash_open function in lib/dbm/src/hash.c in Mozilla Network Security Services (NSS) allows context-dependent attackers to have unspecified impact using a crafted cert8.db file.,CVE-2017-11696,tykio/midsommar:latest
libnss3,LOW,2:3.87.1-1+deb12u1,,The __hash_open function in hash.c:229 in Mozilla Network Security Services (NSS) allows context-dependent attackers to cause a denial of service (floating point exception and crash) via a crafted cert8.db file.,CVE-2017-11697,tykio/midsommar:latest
libnss3,LOW,2:3.87.1-1+deb12u1,,Heap-based buffer overflow in the __get_page function in lib/dbm/src/h_page.c in Mozilla Network Security Services (NSS) allows context-dependent attackers to have unspecified impact using a crafted cert8.db file.,CVE-2017-11698,tykio/midsommar:latest
libopenjp2-7,MEDIUM,2.5.0-2+deb12u1,,A flaw was found in OpenJPEG. Maliciously constructed pictures can cause the program to enter a large loop and continuously print warning messages on the terminal.,CVE-2023-39327,tykio/midsommar:latest
libopenjp2-7,MEDIUM,2.5.0-2+deb12u1,,A vulnerability was found in OpenJPEG similar to CVE-2019-6988. This flaw allows an attacker to bypass existing protections and cause an application crash through a maliciously crafted file.,CVE-2023-39328,tykio/midsommar:latest
libopenjp2-7,MEDIUM,2.5.0-2+deb12u1,,"A flaw was found in OpenJPEG. A resource exhaustion can occur in the opj_t1_decode_cblks function in tcd.c through a crafted image file, causing a denial of service.",CVE-2023-39329,tykio/midsommar:latest
libopenjp2-7,LOW,2.5.0-2+deb12u1,,"NULL pointer dereference vulnerabilities in the imagetopnm function in convert.c, sycc444_to_rgb function in color.c, color_esycc_to_rgb function in color.c, and sycc422_to_rgb function in color.c in OpenJPEG before 2.2.0 allow remote attackers to cause a denial of service (application crash) via crafted j2k files.",CVE-2016-10505,tykio/midsommar:latest
libopenjp2-7,LOW,2.5.0-2+deb12u1,,There is a NULL pointer dereference in function imagetobmp of convertbmp.c:980 of OpenJPEG 2.1.2. image->comps[0].data is not assigned a value after initialization(NULL). Impact is Denial of Service.,CVE-2016-9113,tykio/midsommar:latest
libopenjp2-7,LOW,2.5.0-2+deb12u1,,There is a NULL Pointer Access in function imagetopnm of convert.c:1943(jp2) of OpenJPEG 2.1.2. image->comps[compno].data is not assigned a value after initialization(NULL). Impact is Denial of Service.,CVE-2016-9114,tykio/midsommar:latest
libopenjp2-7,LOW,2.5.0-2+deb12u1,,Heap Buffer Over-read in function imagetotga of convert.c(jp2):942 in OpenJPEG 2.1.2. Impact is Denial of Service. Someone must open a crafted j2k file.,CVE-2016-9115,tykio/midsommar:latest
libopenjp2-7,LOW,2.5.0-2+deb12u1,,NULL Pointer Access in function imagetopnm of convert.c:2226(jp2) in OpenJPEG 2.1.2. Impact is Denial of Service. Someone must open a crafted j2k file.,CVE-2016-9116,tykio/midsommar:latest
libopenjp2-7,LOW,2.5.0-2+deb12u1,,NULL Pointer Access in function imagetopnm of convert.c(jp2):1289 in OpenJPEG 2.1.2. Impact is Denial of Service. Someone must open a crafted j2k file.,CVE-2016-9117,tykio/midsommar:latest
libopenjp2-7,LOW,2.5.0-2+deb12u1,,"An integer overflow vulnerability was found in tiftoimage function in openjpeg 2.1.2, resulting in heap buffer overflow.",CVE-2016-9580,tykio/midsommar:latest
libopenjp2-7,LOW,2.5.0-2+deb12u1,,An infinite loop vulnerability in tiftoimage that results in heap buffer overflow in convert_32s_C1P1 was found in openjpeg 2.1.2.,CVE-2016-9581,tykio/midsommar:latest
libopenjp2-7,LOW,2.5.0-2+deb12u1,,"In OpenJPEG 2.3.0, a stack-based buffer overflow was discovered in the pgxtoimage function in jpwl/convert.c. The vulnerability causes an out-of-bounds write, which may lead to remote denial of service or possibly remote code execution.",CVE-2017-17479,tykio/midsommar:latest
libopenjp2-7,LOW,2.5.0-2+deb12u1,,An issue was discovered in OpenJPEG 2.3.0. Missing checks for header_info.height and header_info.width in the function pnmtoimage in bin/jpwl/convert.c can lead to a heap-based buffer overflow.,CVE-2018-16375,tykio/midsommar:latest
libopenjp2-7,LOW,2.5.0-2+deb12u1,,"An issue was discovered in OpenJPEG 2.3.0. A heap-based buffer overflow was discovered in the function t2_encode_packet in lib/openmj2/t2.c. The vulnerability causes an out-of-bounds write, which may lead to remote denial of service or possibly unspecified other impact.",CVE-2018-16376,tykio/midsommar:latest
libopenjp2-7,LOW,2.5.0-2+deb12u1,,"Out-of-bounds accesses in the functions pi_next_lrcp, pi_next_rlcp, pi_next_rpcl, pi_next_pcrl, pi_next_rpcl, and pi_next_cprl in openmj2/pi.c in OpenJPEG through 2.3.0 allow remote attackers to cause a denial of service (application crash).",CVE-2018-20846,tykio/midsommar:latest
libopenjp2-7,LOW,2.5.0-2+deb12u1,,"An issue was discovered in OpenJPEG 2.3.0. It allows remote attackers to cause a denial of service (attempted excessive memory allocation) in opj_calloc in openjp2/opj_malloc.c, when called from opj_tcd_init_tile in openjp2/tcd.c, as demonstrated by the 64-bit opj_decompress.",CVE-2019-6988,tykio/midsommar:latest
libpam-modules,MEDIUM,1.5.2-6+deb12u1,,"A vulnerability was found in PAM. The secret information is stored in memory, where the attacker can trigger the victim program to execute by sending characters to its standard input (stdin). As this occurs, the attacker can train the branch predictor to execute an ROP chain speculatively. This flaw could result in leaked passwords, such as those found in /etc/shadow while performing authentications.",CVE-2024-10041,tykio/midsommar:latest
libpam-modules,MEDIUM,1.5.2-6+deb12u1,,linux-pam (aka Linux PAM) before 1.6.0 allows attackers to cause a denial of service (blocked login process) via mkfifo because the openat call (for protect_dir) lacks O_DIRECTORY.,CVE-2024-22365,tykio/midsommar:latest
libpam-modules-bin,MEDIUM,1.5.2-6+deb12u1,,"A vulnerability was found in PAM. The secret information is stored in memory, where the attacker can trigger the victim program to execute by sending characters to its standard input (stdin). As this occurs, the attacker can train the branch predictor to execute an ROP chain speculatively. This flaw could result in leaked passwords, such as those found in /etc/shadow while performing authentications.",CVE-2024-10041,tykio/midsommar:latest
libpam-modules-bin,MEDIUM,1.5.2-6+deb12u1,,linux-pam (aka Linux PAM) before 1.6.0 allows attackers to cause a denial of service (blocked login process) via mkfifo because the openat call (for protect_dir) lacks O_DIRECTORY.,CVE-2024-22365,tykio/midsommar:latest
libpam-runtime,MEDIUM,1.5.2-6+deb12u1,,"A vulnerability was found in PAM. The secret information is stored in memory, where the attacker can trigger the victim program to execute by sending characters to its standard input (stdin). As this occurs, the attacker can train the branch predictor to execute an ROP chain speculatively. This flaw could result in leaked passwords, such as those found in /etc/shadow while performing authentications.",CVE-2024-10041,tykio/midsommar:latest
libpam-runtime,MEDIUM,1.5.2-6+deb12u1,,linux-pam (aka Linux PAM) before 1.6.0 allows attackers to cause a denial of service (blocked login process) via mkfifo because the openat call (for protect_dir) lacks O_DIRECTORY.,CVE-2024-22365,tykio/midsommar:latest
libpam0g,MEDIUM,1.5.2-6+deb12u1,,"A vulnerability was found in PAM. The secret information is stored in memory, where the attacker can trigger the victim program to execute by sending characters to its standard input (stdin). As this occurs, the attacker can train the branch predictor to execute an ROP chain speculatively. This flaw could result in leaked passwords, such as those found in /etc/shadow while performing authentications.",CVE-2024-10041,tykio/midsommar:latest
libpam0g,MEDIUM,1.5.2-6+deb12u1,,linux-pam (aka Linux PAM) before 1.6.0 allows attackers to cause a denial of service (blocked login process) via mkfifo because the openat call (for protect_dir) lacks O_DIRECTORY.,CVE-2024-22365,tykio/midsommar:latest
libpixman-1-0,LOW,0.42.2-1,,stress-test master commit e4c878 was discovered to contain a FPE vulnerability via the component combine_inner at /pixman-combine-float.c.,CVE-2023-37769,tykio/midsommar:latest
libpng16-16,LOW,1.6.39-2,,"A heap overflow flaw was found in libpngs' pngimage.c program. This flaw allows an attacker with local network access to pass a specially crafted PNG file to the pngimage utility, causing an application to crash, leading to a denial of service.",CVE-2021-4214,tykio/midsommar:latest
libpoppler126,MEDIUM,22.12.0-2+b1,,A vulnerability in Outline.cc for Poppler prior to 23.06.0 allows a remote attacker to cause a Denial of Service (DoS) (crash) via a crafted PDF file in OutlineItem::open.,CVE-2023-34872,tykio/midsommar:latest
libpoppler126,MEDIUM,22.12.0-2+b1,,libpoppler.so in Poppler through 24.12.0 has an out-of-bounds read vulnerability within the JBIG2Bitmap::combine function in JBIG2Stream.cc.,CVE-2024-56378,tykio/midsommar:latest
libpoppler126,LOW,22.12.0-2+b1,,"The openTempFile function in goo/gfile.cc in Xpdf and Poppler 0.24.3 and earlier, when running on a system other than Unix, allows local users to overwrite arbitrary files via a symlink attack on temporary files with predictable names.",CVE-2013-4472,tykio/midsommar:latest
libpoppler126,LOW,22.12.0-2+b1,,"An exploitable heap overflow vulnerability exists in the image rendering functionality of Poppler 0.53.0. A specifically crafted pdf can cause an image resizing after allocation has already occurred, resulting in heap corruption which can lead to code execution. An attacker controlled PDF file can be used to trigger this vulnerability.",CVE-2017-2814,tykio/midsommar:latest
libpoppler126,LOW,22.12.0-2+b1,,"An exploitable heap overflow vulnerability exists in the image rendering functionality of Poppler 0.53.0. A specifically crafted PDF can cause an overly large number of color components during image rendering, resulting in heap corruption. An attacker controlled PDF file can be used to trigger this vulnerability.",CVE-2017-2818,tykio/midsommar:latest
libpoppler126,LOW,22.12.0-2+b1,,"An exploitable integer overflow vulnerability exists in the JPEG 2000 image parsing functionality of freedesktop.org Poppler 0.53.0. A specially crafted PDF file can lead to an integer overflow causing out of bounds memory overwrite on the heap resulting in potential arbitrary code execution. To trigger this vulnerability, a victim must open the malicious PDF in an application using this library.",CVE-2017-2820,tykio/midsommar:latest
libpoppler126,LOW,22.12.0-2+b1,,"poppler 0.54.0, as used in Evince and other products, has a NULL pointer dereference in the JPXStream::readUByte function in JPXStream.cc. For example, the perf_test utility will crash (segmentation fault) when parsing an invalid PDF file.",CVE-2017-9083,tykio/midsommar:latest
libpoppler126,LOW,22.12.0-2+b1,,"An issue was discovered in Poppler 0.74.0. A recursive function call, in JBIG2Stream::readGenericBitmap() located in JBIG2Stream.cc, can be triggered by sending a crafted pdf file to (for example) the pdfseparate binary. It allows an attacker to cause Denial of Service (Segmentation fault) or possibly have unspecified other impact. This is related to JArithmeticDecoder::decodeBit.",CVE-2019-9543,tykio/midsommar:latest
libpoppler126,LOW,22.12.0-2+b1,,"An issue was discovered in Poppler 0.74.0. A recursive function call, in JBIG2Stream::readTextRegion() located in JBIG2Stream.cc, can be triggered by sending a crafted pdf file to (for example) the pdfimages binary. It allows an attacker to cause Denial of Service (Segmentation fault) or possibly have unspecified other impact. This is related to JBIG2Bitmap::clearToZero.",CVE-2019-9545,tykio/midsommar:latest
libpoppler126,LOW,22.12.0-2+b1,,"In Xpdf prior to 4.04, the DCT (JPEG) decoder was incorrectly allowing the 'interleaved' flag to be changed after the first scan of the image, leading to an unknown integer-related vulnerability in Stream.cc.",CVE-2022-24106,tykio/midsommar:latest
libpoppler126,LOW,22.12.0-2+b1,,"A flaw was found in the Poppler's Pdfinfo utility. This issue occurs when using -dests parameter with pdfinfo utility. By using certain malformed input files, an attacker could cause the utility to crash, leading to a denial of service.",CVE-2024-6239,tykio/midsommar:latest
libsmartcols1,LOW,2.38.1-5+deb12u3,,"A flaw was found in the util-linux chfn and chsh utilities when compiled with Readline support. The Readline library uses an ""INPUTRC"" environment variable to get a path to the library config file. When the library cannot parse the specified file, it prints an error message containing data from the file. This flaw allows an unprivileged user to read root-owned files, potentially leading to privilege escalation. This flaw affects util-linux versions prior to 2.37.4.",CVE-2022-0563,tykio/midsommar:latest
libsqlite3-0,LOW,3.40.1-2+deb12u1,,"A Memory Leak vulnerability exists in SQLite Project SQLite3 3.35.1 and 3.37.0 via maliciously crafted SQL Queries (made via editing the Database File), it is possible to query a record, and leak subsequent bytes of memory that extend beyond the record, which could let a malicious user obtain sensitive information. NOTE: The developer disputes this as a vulnerability stating that If you give SQLite a corrupted database file and submit a query against the database, it might read parts of the database that you did not intend or expect.",CVE-2021-45346,tykio/midsommar:latest
libssl3,MEDIUM,3.0.15-1~deb12u1,,"Issue summary: A timing side-channel which could potentially allow recovering
the private key exists in the ECDSA signature computation.

Impact summary: A timing side-channel in ECDSA signature computations
could allow recovering the private key by an attacker. However, measuring
the timing would require either local access to the signing application or
a very fast network connection with low latency.

There is a timing signal of around 300 nanoseconds when the top word of
the inverted ECDSA nonce value is zero. This can happen with significant
probability only for some of the supported elliptic curves. In particular
the NIST P-521 curve is affected. To be able to measure this leak, the attacker
process must either be located in the same physical computer or must
have a very fast network connection with low latency. For that reason
the severity of this vulnerability is Low.

The FIPS modules in 3.4, 3.3, 3.2, 3.1 and 3.0 are affected by this issue.",CVE-2024-13176,tykio/midsommar:latest
libstdc++6,LOW,12.2.0-14,,"libiberty/rust-demangle.c in GNU GCC 11.2 allows stack consumption in demangle_const, as demonstrated by nm-new.",CVE-2022-27943,tykio/midsommar:latest
libstdc++6,LOW,12.2.0-14,,"**DISPUTED**A failure in the -fstack-protector feature in GCC-based toolchains 
that target AArch64 allows an attacker to exploit an existing buffer 
overflow in dynamically-sized local variables in your application 
without this being detected. This stack-protector failure only applies 
to C99-style dynamically-sized local variables or those created using 
alloca(). The stack-protector operates as intended for statically-sized 
local variables.

The default behavior when the stack-protector 
detects an overflow is to terminate your application, resulting in 
controlled loss of availability. An attacker who can exploit a buffer 
overflow without triggering the stack-protector might be able to change 
program flow control to cause an uncontrolled loss of availability or to
 go further and affect confidentiality or integrity. NOTE: The GCC project argues that this is a missed hardening bug and not a vulnerability by itself.",CVE-2023-4039,tykio/midsommar:latest
libsystemd0,LOW,252.36-1~deb12u1,,"systemd, when updating file permissions, allows local users to change the permissions and SELinux security contexts for arbitrary files via a symlink attack on unspecified files.",CVE-2013-4392,tykio/midsommar:latest
